#p7	p5
1065	1272
1066	1271
1067	1270
1068	1269
1069	1268
1070	1267
1071	1266
1072	1265
1193	1016
1194	1015
1195	1014
1196	1013
1197	1012
1198	1011
1199	1010
1200	1009
1305	1128
1306	1127
1307	1126
1308	1125
1309	1124
1310	1123
1311	1122
1312	1121
1185	1008
1186	1007
1187	1006
1188	1005
1189	1004
1190	1003
1191	1002
1192	1001
1161	1368
1162	1367
1163	1366
1164	1365
1165	1364
1166	1363
1167	1362
1168	1361
1209	1032
1210	1031
1211	1030
1212	1029
1213	1028
1214	1027
1215	1026
1216	1025
1089	1296
1090	1295
1091	1294
1092	1293
1093	1292
1094	1291
1095	1290
1096	1289
1097	1304
1098	1303
1099	1302
1100	1301
1101	1300
1102	1299
1103	1298
1104	1297
1313	1136
1314	1135
1315	1134
1316	1133
1317	1132
1318	1131
1319	1130
1320	1129
1249	1072
1250	1071
1251	1070
1252	1069
1253	1068
1254	1067
1255	1066
1256	1065
1001	1208
1002	1207
1003	1206
1004	1205
1005	1204
1006	1203
1007	1202
1008	1201
1201	1024
1202	1023
1203	1022
1204	1021
1205	1020
1206	1019
1207	1018
1208	1017
##bravo_command	1,17	1,6	p5_inverse
##bravo_command	2,1	2,22	p5_inverse
##bravo_command	2,6	2,17	p5_inverse
##bravo_command	1,24	2,24	p5_inverse
##bravo_command	1,18	1,5	p5_inverse
##bravo_command	2,5	2,18	p5_inverse
##bravo_command	1,23	1,23	p5_inverse
##bravo_command	1,2	1,21	p5_inverse
##bravo_command	2,8	2,15	p5_inverse
##bravo_command	2,15	2,8	p5_inverse
##bravo_command	1,1	1,22	p5_inverse
##bravo_command	2,3	2,20	p5_inverse
