#p7	p5
1009	1016
1010	1015
1011	1014
1012	1013
1013	1012
1014	1011
1015	1010
1016	1009
1041	1048
1042	1047
1043	1046
1044	1045
1045	1044
1046	1043
1047	1042
1048	1041
1073	1080
1074	1079
1075	1078
1076	1077
1077	1076
1078	1075
1079	1074
1080	1073
1281	1288
1282	1287
1283	1286
1284	1285
1285	1284
1286	1283
1287	1282
1288	1281
1377	1384
1378	1383
1379	1382
1380	1381
1381	1380
1382	1379
1383	1378
1384	1377
1209	1216
1210	1215
1211	1214
1212	1213
1213	1212
1214	1211
1215	1210
1216	1209
1161	1168
1162	1167
1163	1166
1164	1165
1165	1164
1166	1163
1167	1162
1168	1161
1057	1064
1058	1063
1059	1062
1060	1061
1061	1060
1062	1059
1063	1058
1064	1057
1345	1352
1346	1351
1347	1350
1348	1349
1349	1348
1350	1347
1351	1346
1352	1345
1081	1088
1082	1087
1083	1086
1084	1085
1085	1084
1086	1083
1087	1082
1088	1081
1065	1072
1066	1071
1067	1070
1068	1069
1069	1068
1070	1067
1071	1066
1072	1065
1201	1208
1202	1207
1203	1206
1204	1205
1205	1204
1206	1203
1207	1202
1208	1201
##bravo_command	1,3	2,22	p5_inverse
##bravo_command	1,11	2,14	p5_inverse
##bravo_command	1,19	2,6	p5_inverse
##bravo_command	2,23	1,2	p5_inverse
##bravo_command	2,24	1,1	p5_inverse
##bravo_command	2,5	1,20	p5_inverse
##bravo_command	1,18	2,7	p5_inverse
##bravo_command	1,15	2,10	p5_inverse
##bravo_command	2,16	1,9	p5_inverse
##bravo_command	1,21	2,4	p5_inverse
##bravo_command	1,17	2,8	p5_inverse
##bravo_command	2,3	1,22	p5_inverse
