#p7	p5
1169	1320
1170	1319
1171	1318
1172	1317
1173	1316
1174	1315
1175	1314
1176	1313
1209	1360
1210	1359
1211	1358
1212	1357
1213	1356
1214	1355
1215	1354
1216	1353
1041	1192
1042	1191
1043	1190
1044	1189
1045	1188
1046	1187
1047	1186
1048	1185
1177	1328
1178	1327
1179	1326
1180	1325
1181	1324
1182	1323
1183	1322
1184	1321
1321	1088
1322	1087
1323	1086
1324	1085
1325	1084
1326	1083
1327	1082
1328	1081
1281	1048
1282	1047
1283	1046
1284	1045
1285	1044
1286	1043
1287	1042
1288	1041
1353	1120
1354	1119
1355	1118
1356	1117
1357	1116
1358	1115
1359	1114
1360	1113
1313	1080
1314	1079
1315	1078
1316	1077
1317	1076
1318	1075
1319	1074
1320	1073
1289	1056
1290	1055
1291	1054
1292	1053
1293	1052
1294	1051
1295	1050
1296	1049
1369	1136
1370	1135
1371	1134
1372	1133
1373	1132
1374	1131
1375	1130
1376	1129
1097	1248
1098	1247
1099	1246
1100	1245
1101	1244
1102	1243
1103	1242
1104	1241
1185	1336
1186	1335
1187	1334
1188	1333
1189	1332
1190	1331
1191	1330
1192	1329
##bravo_command	1,20	1,17	p5_inverse
##bravo_command	2,5	1,7	p5_inverse
##bravo_command	1,11	2,1	p5_inverse
##bravo_command	1,22	1,15	p5_inverse
##bravo_command	2,10	2,4	p5_inverse
##bravo_command	2,23	2,14	p5_inverse
##bravo_command	2,18	2,19	p5_inverse
##bravo_command	2,8	2,6	p5_inverse
##bravo_command	2,2	2,12	p5_inverse
##bravo_command	2,22	2,15	p5_inverse
##bravo_command	1,2	1,12	p5_inverse
##bravo_command	1,24	1,13	p5_inverse
