#p7	p5
1081	1096
1082	1095
1083	1094
1084	1093
1085	1092
1086	1091
1087	1090
1088	1089
1001	1016
1002	1015
1003	1014
1004	1013
1005	1012
1006	1011
1007	1010
1008	1009
1297	1312
1298	1311
1299	1310
1300	1309
1301	1308
1302	1307
1303	1306
1304	1305
1377	1008
1378	1007
1379	1006
1380	1005
1381	1004
1382	1003
1383	1002
1384	1001
1345	1360
1346	1359
1347	1358
1348	1357
1349	1356
1350	1355
1351	1354
1352	1353
1361	1376
1362	1375
1363	1374
1364	1373
1365	1372
1366	1371
1367	1370
1368	1369
1353	1368
1354	1367
1355	1366
1356	1365
1357	1364
1358	1363
1359	1362
1360	1361
1321	1336
1322	1335
1323	1334
1324	1333
1325	1332
1326	1331
1327	1330
1328	1329
1185	1200
1186	1199
1187	1198
1188	1197
1189	1196
1190	1195
1191	1194
1192	1193
1337	1352
1338	1351
1339	1350
1340	1349
1341	1348
1342	1347
1343	1346
1344	1345
1065	1080
1066	1079
1067	1078
1068	1077
1069	1076
1070	1075
1071	1074
1072	1073
1073	1088
1074	1087
1075	1086
1076	1085
1077	1084
1078	1083
1079	1082
1080	1081
##bravo_command	1,21	2,2	p5_inverse
##bravo_command	1,1	2,22	p5_inverse
##bravo_command	2,4	1,19	p5_inverse
##bravo_command	2,24	2,24	p5_inverse
##bravo_command	2,16	1,7	p5_inverse
##bravo_command	2,20	1,3	p5_inverse
##bravo_command	2,18	1,5	p5_inverse
##bravo_command	2,10	1,13	p5_inverse
##bravo_command	1,24	1,24	p5_inverse
##bravo_command	2,14	1,9	p5_inverse
##bravo_command	1,17	2,6	p5_inverse
##bravo_command	1,19	2,4	p5_inverse
