#p7	p5
1217	1016
1218	1015
1219	1014
1220	1013
1221	1012
1222	1011
1223	1010
1224	1009
1153	1336
1154	1335
1155	1334
1156	1333
1157	1332
1158	1331
1159	1330
1160	1329
1233	1032
1234	1031
1235	1030
1236	1029
1237	1028
1238	1027
1239	1026
1240	1025
1297	1096
1298	1095
1299	1094
1300	1093
1301	1092
1302	1091
1303	1090
1304	1089
1049	1232
1050	1231
1051	1230
1052	1229
1053	1228
1054	1227
1055	1226
1056	1225
1001	1184
1002	1183
1003	1182
1004	1181
1005	1180
1006	1179
1007	1178
1008	1177
1209	1008
1210	1007
1211	1006
1212	1005
1213	1004
1214	1003
1215	1002
1216	1001
1329	1128
1330	1127
1331	1126
1332	1125
1333	1124
1334	1123
1335	1122
1336	1121
1321	1120
1322	1119
1323	1118
1324	1117
1325	1116
1326	1115
1327	1114
1328	1113
1257	1056
1258	1055
1259	1054
1260	1053
1261	1052
1262	1051
1263	1050
1264	1049
1113	1296
1114	1295
1115	1294
1116	1293
1117	1292
1118	1291
1119	1290
1120	1289
1193	1376
1194	1375
1195	1374
1196	1373
1197	1372
1198	1371
1199	1370
1200	1369
##bravo_command	2,7	2,22	p5_inverse
##bravo_command	1,16	1,13	p5_inverse
##bravo_command	2,11	2,18	p5_inverse
##bravo_command	2,4	2,2	p5_inverse
##bravo_command	1,13	1,16	p5_inverse
##bravo_command	1,1	2,3	p5_inverse
##bravo_command	2,5	2,24	p5_inverse
##bravo_command	2,12	2,17	p5_inverse
##bravo_command	2,10	2,19	p5_inverse
##bravo_command	2,17	2,12	p5_inverse
##bravo_command	1,6	1,23	p5_inverse
##bravo_command	2,1	1,3	p5_inverse
