#p7	p5
1161	1104
1162	1103
1163	1102
1164	1101
1165	1100
1166	1099
1167	1098
1168	1097
1129	1072
1130	1071
1131	1070
1132	1069
1133	1068
1134	1067
1135	1066
1136	1065
1257	1200
1258	1199
1259	1198
1260	1197
1261	1196
1262	1195
1263	1194
1264	1193
1065	1008
1066	1007
1067	1006
1068	1005
1069	1004
1070	1003
1071	1002
1072	1001
1089	1032
1090	1031
1091	1030
1092	1029
1093	1028
1094	1027
1095	1026
1096	1025
1217	1160
1218	1159
1219	1158
1220	1157
1221	1156
1222	1155
1223	1154
1224	1153
1265	1208
1266	1207
1267	1206
1268	1205
1269	1204
1270	1203
1271	1202
1272	1201
1361	1304
1362	1303
1363	1302
1364	1301
1365	1300
1366	1299
1367	1298
1368	1297
1369	1312
1370	1311
1371	1310
1372	1309
1373	1308
1374	1307
1375	1306
1376	1305
1033	1360
1034	1359
1035	1358
1036	1357
1037	1356
1038	1355
1039	1354
1040	1353
1305	1248
1306	1247
1307	1246
1308	1245
1309	1244
1310	1243
1311	1242
1312	1241
1153	1096
1154	1095
1155	1094
1156	1093
1157	1092
1158	1091
1159	1090
1160	1089
##bravo_command	1,18	2,23	p5_inverse
##bravo_command	1,10	2,8	p5_inverse
##bravo_command	2,17	1,24	p5_inverse
##bravo_command	1,17	2,24	p5_inverse
##bravo_command	1,23	2,18	p5_inverse
##bravo_command	2,7	2,9	p5_inverse
##bravo_command	2,19	1,22	p5_inverse
##bravo_command	2,20	1,21	p5_inverse
##bravo_command	2,22	1,19	p5_inverse
##bravo_command	1,9	1,7	p5_inverse
##bravo_command	2,6	1,12	p5_inverse
##bravo_command	1,16	2,2	p5_inverse
