#p7	p5
1169	1104
1170	1103
1171	1102
1172	1101
1173	1100
1174	1099
1175	1098
1176	1097
1241	1176
1242	1175
1243	1174
1244	1173
1245	1172
1246	1171
1247	1170
1248	1169
1097	1032
1098	1031
1099	1030
1100	1029
1101	1028
1102	1027
1103	1026
1104	1025
1217	1152
1218	1151
1219	1150
1220	1149
1221	1148
1222	1147
1223	1146
1224	1145
1313	1248
1314	1247
1315	1246
1316	1245
1317	1244
1318	1243
1319	1242
1320	1241
1233	1168
1234	1167
1235	1166
1236	1165
1237	1164
1238	1163
1239	1162
1240	1161
1297	1232
1298	1231
1299	1230
1300	1229
1301	1228
1302	1227
1303	1226
1304	1225
1265	1200
1266	1199
1267	1198
1268	1197
1269	1196
1270	1195
1271	1194
1272	1193
1153	1088
1154	1087
1155	1086
1156	1085
1157	1084
1158	1083
1159	1082
1160	1081
1161	1096
1162	1095
1163	1094
1164	1093
1165	1092
1166	1091
1167	1090
1168	1089
1041	1360
1042	1359
1043	1358
1044	1357
1045	1356
1046	1355
1047	1354
1048	1353
1369	1304
1370	1303
1371	1302
1372	1301
1373	1300
1374	1299
1375	1298
1376	1297
##bravo_command	1,20	2,23	p5_inverse
##bravo_command	2,13	2,5	p5_inverse
##bravo_command	1,2	2,18	p5_inverse
##bravo_command	2,7	2,11	p5_inverse
##bravo_command	2,8	1,12	p5_inverse
##bravo_command	2,11	2,7	p5_inverse
##bravo_command	2,4	1,16	p5_inverse
##bravo_command	2,19	1,24	p5_inverse
##bravo_command	1,16	2,4	p5_inverse
##bravo_command	1,18	2,2	p5_inverse
##bravo_command	1,11	1,7	p5_inverse
##bravo_command	2,22	1,21	p5_inverse
