#p7	p5
1113	1144
1114	1143
1115	1142
1116	1141
1117	1140
1118	1139
1119	1138
1120	1137
1033	1064
1034	1063
1035	1062
1036	1061
1037	1060
1038	1059
1039	1058
1040	1057
1337	1368
1338	1367
1339	1366
1340	1365
1341	1364
1342	1363
1343	1362
1344	1361
1137	1168
1138	1167
1139	1166
1140	1165
1141	1164
1142	1163
1143	1162
1144	1161
1281	1312
1282	1311
1283	1310
1284	1309
1285	1308
1286	1307
1287	1306
1288	1305
1065	1096
1066	1095
1067	1094
1068	1093
1069	1092
1070	1091
1071	1090
1072	1089
1129	1160
1130	1159
1131	1158
1132	1157
1133	1156
1134	1155
1135	1154
1136	1153
1009	1040
1010	1039
1011	1038
1012	1037
1013	1036
1014	1035
1015	1034
1016	1033
1313	1344
1314	1343
1315	1342
1316	1341
1317	1340
1318	1339
1319	1338
1320	1337
1089	1120
1090	1119
1091	1118
1092	1117
1093	1116
1094	1115
1095	1114
1096	1113
1017	1048
1018	1047
1019	1046
1020	1045
1021	1044
1022	1043
1023	1042
1024	1041
1225	1256
1226	1255
1227	1254
1228	1253
1229	1252
1230	1251
1231	1250
1232	1249
##bravo_command	1,6	2,13	p5_inverse
##bravo_command	1,9	2,10	p5_inverse
##bravo_command	2,14	1,5	p5_inverse
##bravo_command	1,12	2,7	p5_inverse
##bravo_command	2,23	1,19	p5_inverse
##bravo_command	1,17	2,2	p5_inverse
##bravo_command	1,10	2,9	p5_inverse
##bravo_command	1,3	2,16	p5_inverse
##bravo_command	2,8	1,11	p5_inverse
##bravo_command	1,23	2,19	p5_inverse
##bravo_command	1,5	2,14	p5_inverse
##bravo_command	2,9	1,10	p5_inverse
