#p7	p5
1057	1296
1058	1295
1059	1294
1060	1293
1061	1292
1062	1291
1063	1290
1064	1289
1345	1200
1346	1199
1347	1198
1348	1197
1349	1196
1350	1195
1351	1194
1352	1193
1377	1232
1378	1231
1379	1230
1380	1229
1381	1228
1382	1227
1383	1226
1384	1225
1329	1184
1330	1183
1331	1182
1332	1181
1333	1180
1334	1179
1335	1178
1336	1177
1169	1024
1170	1023
1171	1022
1172	1021
1173	1020
1174	1019
1175	1018
1176	1017
1177	1032
1178	1031
1179	1030
1180	1029
1181	1028
1182	1027
1183	1026
1184	1025
1073	1312
1074	1311
1075	1310
1076	1309
1077	1308
1078	1307
1079	1306
1080	1305
1361	1216
1362	1215
1363	1214
1364	1213
1365	1212
1366	1211
1367	1210
1368	1209
1241	1096
1242	1095
1243	1094
1244	1093
1245	1092
1246	1091
1247	1090
1248	1089
1017	1256
1018	1255
1019	1254
1020	1253
1021	1252
1022	1251
1023	1250
1024	1249
1249	1104
1250	1103
1251	1102
1252	1101
1253	1100
1254	1099
1255	1098
1256	1097
1297	1152
1298	1151
1299	1150
1300	1149
1301	1148
1302	1147
1303	1146
1304	1145
##bravo_command	1,15	1,23	p5_inverse
##bravo_command	2,16	1,24	p5_inverse
##bravo_command	2,24	1,16	p5_inverse
##bravo_command	2,12	2,3	p5_inverse
##bravo_command	1,20	2,20	p5_inverse
##bravo_command	1,22	2,18	p5_inverse
##bravo_command	1,19	1,19	p5_inverse
##bravo_command	2,20	1,20	p5_inverse
##bravo_command	2,13	2,2	p5_inverse
##bravo_command	1,5	1,10	p5_inverse
##bravo_command	2,15	2,23	p5_inverse
##bravo_command	2,4	2,11	p5_inverse
