#p7	p5
1089	1304
1090	1303
1091	1302
1092	1301
1093	1300
1094	1299
1095	1298
1096	1297
1041	1256
1042	1255
1043	1254
1044	1253
1045	1252
1046	1251
1047	1250
1048	1249
1025	1240
1026	1239
1027	1238
1028	1237
1029	1236
1030	1235
1031	1234
1032	1233
1153	1368
1154	1367
1155	1366
1156	1365
1157	1364
1158	1363
1159	1362
1160	1361
1313	1144
1314	1143
1315	1142
1316	1141
1317	1140
1318	1139
1319	1138
1320	1137
1193	1024
1194	1023
1195	1022
1196	1021
1197	1020
1198	1019
1199	1018
1200	1017
1081	1296
1082	1295
1083	1294
1084	1293
1085	1292
1086	1291
1087	1290
1088	1289
1321	1152
1322	1151
1323	1150
1324	1149
1325	1148
1326	1147
1327	1146
1328	1145
1217	1048
1218	1047
1219	1046
1220	1045
1221	1044
1222	1043
1223	1042
1224	1041
1249	1080
1250	1079
1251	1078
1252	1077
1253	1076
1254	1075
1255	1074
1256	1073
1377	1208
1378	1207
1379	1206
1380	1205
1381	1204
1382	1203
1383	1202
1384	1201
1065	1280
1066	1279
1067	1278
1068	1277
1069	1276
1070	1275
1071	1274
1072	1273
##bravo_command	1,23	1,21	p5_inverse
##bravo_command	1,11	1,10	p5_inverse
##bravo_command	1,7	1,14	p5_inverse
##bravo_command	1,16	1,5	p5_inverse
##bravo_command	2,8	2,13	p5_inverse
##bravo_command	2,1	2,20	p5_inverse
##bravo_command	1,21	1,23	p5_inverse
##bravo_command	2,10	2,11	p5_inverse
##bravo_command	2,7	2,14	p5_inverse
##bravo_command	2,15	2,6	p5_inverse
##bravo_command	2,24	1,22	p5_inverse
##bravo_command	1,17	1,4	p5_inverse
