#p7	p5
1273	1345
1274	1346
1275	1347
1276	1348
1277	1349
1278	1350
1279	1351
1280	1352
1097	1169
1098	1170
1099	1171
1100	1172
1101	1173
1102	1174
1103	1175
1104	1176
1057	1129
1058	1130
1059	1131
1060	1132
1061	1133
1062	1134
1063	1135
1064	1136
1337	1025
1338	1026
1339	1027
1340	1028
1341	1029
1342	1030
1343	1031
1344	1032
1177	1249
1178	1250
1179	1251
1180	1252
1181	1253
1182	1254
1183	1255
1184	1256
1161	1233
1162	1234
1163	1235
1164	1236
1165	1237
1166	1238
1167	1239
1168	1240
1065	1137
1066	1138
1067	1139
1068	1140
1069	1141
1070	1142
1071	1143
1072	1144
1233	1305
1234	1306
1235	1307
1236	1308
1237	1309
1238	1310
1239	1311
1240	1312
1129	1201
1130	1202
1131	1203
1132	1204
1133	1205
1134	1206
1135	1207
1136	1208
1313	1001
1314	1002
1315	1003
1316	1004
1317	1005
1318	1006
1319	1007
1320	1008
1265	1337
1266	1338
1267	1339
1268	1340
1269	1341
1270	1342
1271	1343
1272	1344
1241	1313
1242	1314
1243	1315
1244	1316
1245	1317
1246	1318
1247	1319
1248	1320
##bravo_command	2,21	2,16	p5_straight
##bravo_command	1,2	1,20	p5_straight
##bravo_command	1,15	1,10	p5_straight
##bravo_command	2,14	1,7	p5_straight
##bravo_command	1,22	2,15	p5_straight
##bravo_command	1,18	2,11	p5_straight
##bravo_command	1,17	1,12	p5_straight
##bravo_command	2,11	2,6	p5_straight
##bravo_command	1,10	2,3	p5_straight
##bravo_command	2,8	1,1	p5_straight
##bravo_command	2,19	2,14	p5_straight
##bravo_command	2,13	2,8	p5_straight
