#p7	p5
1185	1241
1186	1242
1187	1243
1188	1244
1189	1245
1190	1246
1191	1247
1192	1248
1073	1129
1074	1130
1075	1131
1076	1132
1077	1133
1078	1134
1079	1135
1080	1136
1329	1001
1330	1002
1331	1003
1332	1004
1333	1005
1334	1006
1335	1007
1336	1008
1345	1017
1346	1018
1347	1019
1348	1020
1349	1021
1350	1022
1351	1023
1352	1024
1025	1081
1026	1082
1027	1083
1028	1084
1029	1085
1030	1086
1031	1087
1032	1088
1233	1289
1234	1290
1235	1291
1236	1292
1237	1293
1238	1294
1239	1295
1240	1296
1153	1209
1154	1210
1155	1211
1156	1212
1157	1213
1158	1214
1159	1215
1160	1216
1193	1249
1194	1250
1195	1251
1196	1252
1197	1253
1198	1254
1199	1255
1200	1256
1297	1353
1298	1354
1299	1355
1300	1356
1301	1357
1302	1358
1303	1359
1304	1360
1337	1009
1338	1010
1339	1011
1340	1012
1341	1013
1342	1014
1343	1015
1344	1016
1265	1321
1266	1322
1267	1323
1268	1324
1269	1325
1270	1326
1271	1327
1272	1328
1289	1345
1290	1346
1291	1347
1292	1348
1293	1349
1294	1350
1295	1351
1296	1352
##bravo_command	1,24	2,13	p5_straight
##bravo_command	1,19	1,10	p5_straight
##bravo_command	2,12	1,1	p5_straight
##bravo_command	2,16	1,5	p5_straight
##bravo_command	1,7	1,21	p5_straight
##bravo_command	2,11	2,2	p5_straight
##bravo_command	1,16	2,5	p5_straight
##bravo_command	2,1	2,15	p5_straight
##bravo_command	2,4	2,18	p5_straight
##bravo_command	2,14	1,3	p5_straight
##bravo_command	2,19	2,10	p5_straight
##bravo_command	2,2	2,16	p5_straight
