#p7	p5
1225	1272
1226	1271
1227	1270
1228	1269
1229	1268
1230	1267
1231	1266
1232	1265
1233	1280
1234	1279
1235	1278
1236	1277
1237	1276
1238	1275
1239	1274
1240	1273
1137	1184
1138	1183
1139	1182
1140	1181
1141	1180
1142	1179
1143	1178
1144	1177
1161	1208
1162	1207
1163	1206
1164	1205
1165	1204
1166	1203
1167	1202
1168	1201
1057	1104
1058	1103
1059	1102
1060	1101
1061	1100
1062	1099
1063	1098
1064	1097
1145	1192
1146	1191
1147	1190
1148	1189
1149	1188
1150	1187
1151	1186
1152	1185
1201	1248
1202	1247
1203	1246
1204	1245
1205	1244
1206	1243
1207	1242
1208	1241
1193	1240
1194	1239
1195	1238
1196	1237
1197	1236
1198	1235
1199	1234
1200	1233
1025	1072
1026	1071
1027	1070
1028	1069
1029	1068
1030	1067
1031	1066
1032	1065
1281	1328
1282	1327
1283	1326
1284	1325
1285	1324
1286	1323
1287	1322
1288	1321
1185	1232
1186	1231
1187	1230
1188	1229
1189	1228
1190	1227
1191	1226
1192	1225
1073	1120
1074	1119
1075	1118
1076	1117
1077	1116
1078	1115
1079	1114
1080	1113
##bravo_command	2,9	1,6	p5_inverse
##bravo_command	2,11	1,4	p5_inverse
##bravo_command	1,12	2,3	p5_inverse
##bravo_command	1,18	1,22	p5_inverse
##bravo_command	1,15	2,23	p5_inverse
##bravo_command	1,14	2,1	p5_inverse
##bravo_command	2,3	1,12	p5_inverse
##bravo_command	2,1	1,14	p5_inverse
##bravo_command	1,7	2,8	p5_inverse
##bravo_command	2,23	1,15	p5_inverse
##bravo_command	1,24	1,16	p5_inverse
##bravo_command	1,19	2,19	p5_inverse
