#p7	p5
1129	1233
1130	1234
1131	1235
1132	1236
1133	1237
1134	1238
1135	1239
1136	1240
1113	1217
1114	1218
1115	1219
1116	1220
1117	1221
1118	1222
1119	1223
1120	1224
1017	1121
1018	1122
1019	1123
1020	1124
1021	1125
1022	1126
1023	1127
1024	1128
1137	1241
1138	1242
1139	1243
1140	1244
1141	1245
1142	1246
1143	1247
1144	1248
1105	1209
1106	1210
1107	1211
1108	1212
1109	1213
1110	1214
1111	1215
1112	1216
1345	1065
1346	1066
1347	1067
1348	1068
1349	1069
1350	1070
1351	1071
1352	1072
1241	1345
1242	1346
1243	1347
1244	1348
1245	1349
1246	1350
1247	1351
1248	1352
1041	1145
1042	1146
1043	1147
1044	1148
1045	1149
1046	1150
1047	1151
1048	1152
1057	1161
1058	1162
1059	1163
1060	1164
1061	1165
1062	1166
1063	1167
1064	1168
1257	1361
1258	1362
1259	1363
1260	1364
1261	1365
1262	1366
1263	1367
1264	1368
1161	1265
1162	1266
1163	1267
1164	1268
1165	1269
1166	1270
1167	1271
1168	1272
1209	1313
1210	1314
1211	1315
1212	1316
1213	1317
1214	1318
1215	1319
1216	1320
##bravo_command	1,10	2,11	p5_straight
##bravo_command	1,6	2,7	p5_straight
##bravo_command	1,5	1,8	p5_straight
##bravo_command	1,12	2,13	p5_straight
##bravo_command	1,4	2,5	p5_straight
##bravo_command	2,16	1,17	p5_straight
##bravo_command	2,13	2,16	p5_straight
##bravo_command	1,11	1,14	p5_straight
##bravo_command	1,15	1,18	p5_straight
##bravo_command	2,17	2,20	p5_straight
##bravo_command	1,18	2,19	p5_straight
##bravo_command	2,5	2,8	p5_straight
