#p7	p5
1113	1137
1114	1138
1115	1139
1116	1140
1117	1141
1118	1142
1119	1143
1120	1144
1033	1057
1034	1058
1035	1059
1036	1060
1037	1061
1038	1062
1039	1063
1040	1064
1337	1361
1338	1362
1339	1363
1340	1364
1341	1365
1342	1366
1343	1367
1344	1368
1137	1161
1138	1162
1139	1163
1140	1164
1141	1165
1142	1166
1143	1167
1144	1168
1281	1305
1282	1306
1283	1307
1284	1308
1285	1309
1286	1310
1287	1311
1288	1312
1065	1089
1066	1090
1067	1091
1068	1092
1069	1093
1070	1094
1071	1095
1072	1096
1129	1153
1130	1154
1131	1155
1132	1156
1133	1157
1134	1158
1135	1159
1136	1160
1009	1033
1010	1034
1011	1035
1012	1036
1013	1037
1014	1038
1015	1039
1016	1040
1313	1337
1314	1338
1315	1339
1316	1340
1317	1341
1318	1342
1319	1343
1320	1344
1089	1113
1090	1114
1091	1115
1092	1116
1093	1117
1094	1118
1095	1119
1096	1120
1017	1041
1018	1042
1019	1043
1020	1044
1021	1045
1022	1046
1023	1047
1024	1048
1225	1249
1226	1250
1227	1251
1228	1252
1229	1253
1230	1254
1231	1255
1232	1256
##bravo_command	1,6	1,12	p5_straight
##bravo_command	1,9	1,15	p5_straight
##bravo_command	2,14	2,20	p5_straight
##bravo_command	1,12	1,18	p5_straight
##bravo_command	2,23	2,6	p5_straight
##bravo_command	1,17	1,23	p5_straight
##bravo_command	1,10	1,16	p5_straight
##bravo_command	1,3	1,9	p5_straight
##bravo_command	2,8	2,14	p5_straight
##bravo_command	1,23	1,6	p5_straight
##bravo_command	1,5	1,11	p5_straight
##bravo_command	2,9	2,15	p5_straight
