#p7	p5
1225	1137
1226	1138
1227	1139
1228	1140
1229	1141
1230	1142
1231	1143
1232	1144
1265	1177
1266	1178
1267	1179
1268	1180
1269	1181
1270	1182
1271	1183
1272	1184
1241	1153
1242	1154
1243	1155
1244	1156
1245	1157
1246	1158
1247	1159
1248	1160
1305	1217
1306	1218
1307	1219
1308	1220
1309	1221
1310	1222
1311	1223
1312	1224
1353	1265
1354	1266
1355	1267
1356	1268
1357	1269
1358	1270
1359	1271
1360	1272
1017	1313
1018	1314
1019	1315
1020	1316
1021	1317
1022	1318
1023	1319
1024	1320
1289	1201
1290	1202
1291	1203
1292	1204
1293	1205
1294	1206
1295	1207
1296	1208
1145	1057
1146	1058
1147	1059
1148	1060
1149	1061
1150	1062
1151	1063
1152	1064
1281	1193
1282	1194
1283	1195
1284	1196
1285	1197
1286	1198
1287	1199
1288	1200
1297	1209
1298	1210
1299	1211
1300	1212
1301	1213
1302	1214
1303	1215
1304	1216
1209	1121
1210	1122
1211	1123
1212	1124
1213	1125
1214	1126
1215	1127
1216	1128
1337	1249
1338	1250
1339	1251
1340	1252
1341	1253
1342	1254
1343	1255
1344	1256
##bravo_command	2,9	1,12	p5_straight
##bravo_command	2,19	1,22	p5_straight
##bravo_command	2,13	1,16	p5_straight
##bravo_command	2,6	2,7	p5_straight
##bravo_command	2,18	2,19	p5_straight
##bravo_command	1,5	2,8	p5_straight
##bravo_command	2,2	2,3	p5_straight
##bravo_command	1,14	1,15	p5_straight
##bravo_command	2,23	2,1	p5_straight
##bravo_command	2,4	2,5	p5_straight
##bravo_command	2,5	1,8	p5_straight
##bravo_command	2,14	2,15	p5_straight
