#p7	p5
1105	1049
1106	1050
1107	1051
1108	1052
1109	1053
1110	1054
1111	1055
1112	1056
1345	1289
1346	1290
1347	1291
1348	1292
1349	1293
1350	1294
1351	1295
1352	1296
1089	1033
1090	1034
1091	1035
1092	1036
1093	1037
1094	1038
1095	1039
1096	1040
1057	1001
1058	1002
1059	1003
1060	1004
1061	1005
1062	1006
1063	1007
1064	1008
1185	1129
1186	1130
1187	1131
1188	1132
1189	1133
1190	1134
1191	1135
1192	1136
1233	1177
1234	1178
1235	1179
1236	1180
1237	1181
1238	1182
1239	1183
1240	1184
1257	1201
1258	1202
1259	1203
1260	1204
1261	1205
1262	1206
1263	1207
1264	1208
1337	1281
1338	1282
1339	1283
1340	1284
1341	1285
1342	1286
1343	1287
1344	1288
1193	1137
1194	1138
1195	1139
1196	1140
1197	1141
1198	1142
1199	1143
1200	1144
1041	1369
1042	1370
1043	1371
1044	1372
1045	1373
1046	1374
1047	1375
1048	1376
1201	1145
1202	1146
1203	1147
1204	1148
1205	1149
1206	1150
1207	1151
1208	1152
1241	1185
1242	1186
1243	1187
1244	1188
1245	1189
1246	1190
1247	1191
1248	1192
##bravo_command	1,4	1,13	p5_straight
##bravo_command	2,16	2,2	p5_straight
##bravo_command	1,23	1,9	p5_straight
##bravo_command	1,15	1,1	p5_straight
##bravo_command	1,24	1,10	p5_straight
##bravo_command	2,11	1,22	p5_straight
##bravo_command	2,17	2,3	p5_straight
##bravo_command	2,14	2,23	p5_straight
##bravo_command	2,1	1,12	p5_straight
##bravo_command	1,11	2,22	p5_straight
##bravo_command	2,3	1,14	p5_straight
##bravo_command	2,13	1,24	p5_straight
