#p7	p5
1265	1033
1266	1034
1267	1035
1268	1036
1269	1037
1270	1038
1271	1039
1272	1040
1241	1009
1242	1010
1243	1011
1244	1012
1245	1013
1246	1014
1247	1015
1248	1016
1377	1145
1378	1146
1379	1147
1380	1148
1381	1149
1382	1150
1383	1151
1384	1152
1233	1001
1234	1002
1235	1003
1236	1004
1237	1005
1238	1006
1239	1007
1240	1008
1081	1233
1082	1234
1083	1235
1084	1236
1085	1237
1086	1238
1087	1239
1088	1240
1305	1073
1306	1074
1307	1075
1308	1076
1309	1077
1310	1078
1311	1079
1312	1080
1073	1225
1074	1226
1075	1227
1076	1228
1077	1229
1078	1230
1079	1231
1080	1232
1273	1041
1274	1042
1275	1043
1276	1044
1277	1045
1278	1046
1279	1047
1280	1048
1209	1361
1210	1362
1211	1363
1212	1364
1213	1365
1214	1366
1215	1367
1216	1368
1321	1089
1322	1090
1323	1091
1324	1092
1325	1093
1326	1094
1327	1095
1328	1096
1049	1201
1050	1202
1051	1203
1052	1204
1053	1205
1054	1206
1055	1207
1056	1208
1329	1097
1330	1098
1331	1099
1332	1100
1333	1101
1334	1102
1335	1103
1336	1104
##bravo_command	2,19	1,9	p5_straight
##bravo_command	2,13	1,3	p5_straight
##bravo_command	2,24	1,14	p5_straight
##bravo_command	2,11	1,1	p5_straight
##bravo_command	1,21	2,11	p5_straight
##bravo_command	2,6	1,19	p5_straight
##bravo_command	1,19	2,9	p5_straight
##bravo_command	2,21	1,11	p5_straight
##bravo_command	2,5	2,20	p5_straight
##bravo_command	2,10	1,23	p5_straight
##bravo_command	1,13	2,3	p5_straight
##bravo_command	2,12	1,2	p5_straight
