#p7	p5
1017	1288
1018	1287
1019	1286
1020	1285
1021	1284
1022	1283
1023	1282
1024	1281
1289	1176
1290	1175
1291	1174
1292	1173
1293	1172
1294	1171
1295	1170
1296	1169
1121	1008
1122	1007
1123	1006
1124	1005
1125	1004
1126	1003
1127	1002
1128	1001
1337	1224
1338	1223
1339	1222
1340	1221
1341	1220
1342	1219
1343	1218
1344	1217
1257	1144
1258	1143
1259	1142
1260	1141
1261	1140
1262	1139
1263	1138
1264	1137
1241	1128
1242	1127
1243	1126
1244	1125
1245	1124
1246	1123
1247	1122
1248	1121
1129	1016
1130	1015
1131	1014
1132	1013
1133	1012
1134	1011
1135	1010
1136	1009
1353	1240
1354	1239
1355	1238
1356	1237
1357	1236
1358	1235
1359	1234
1360	1233
1345	1232
1346	1231
1347	1230
1348	1229
1349	1228
1350	1227
1351	1226
1352	1225
1169	1056
1170	1055
1171	1054
1172	1053
1173	1052
1174	1051
1175	1050
1176	1049
1145	1032
1146	1031
1147	1030
1148	1029
1149	1028
1150	1027
1151	1026
1152	1025
1369	1256
1370	1255
1371	1254
1372	1253
1373	1252
1374	1251
1375	1250
1376	1249
##bravo_command	1,5	1,2	p5_inverse
##bravo_command	2,2	2,5	p5_inverse
##bravo_command	1,8	2,24	p5_inverse
##bravo_command	2,14	1,18	p5_inverse
##bravo_command	2,17	2,13	p5_inverse
##bravo_command	2,13	2,17	p5_inverse
##bravo_command	1,10	2,22	p5_inverse
##bravo_command	2,18	1,14	p5_inverse
##bravo_command	2,16	1,16	p5_inverse
##bravo_command	1,20	2,12	p5_inverse
##bravo_command	1,14	2,18	p5_inverse
##bravo_command	2,22	1,10	p5_inverse
