#p7	p5
1153	1288
1154	1287
1155	1286
1156	1285
1157	1284
1158	1283
1159	1282
1160	1281
1257	1008
1258	1007
1259	1006
1260	1005
1261	1004
1262	1003
1263	1002
1264	1001
1041	1176
1042	1175
1043	1174
1044	1173
1045	1172
1046	1171
1047	1170
1048	1169
1281	1032
1282	1031
1283	1030
1284	1029
1285	1028
1286	1027
1287	1026
1288	1025
1073	1208
1074	1207
1075	1206
1076	1205
1077	1204
1078	1203
1079	1202
1080	1201
1321	1072
1322	1071
1323	1070
1324	1069
1325	1068
1326	1067
1327	1066
1328	1065
1137	1272
1138	1271
1139	1270
1140	1269
1141	1268
1142	1267
1143	1266
1144	1265
1273	1024
1274	1023
1275	1022
1276	1021
1277	1020
1278	1019
1279	1018
1280	1017
1129	1264
1130	1263
1131	1262
1132	1261
1133	1260
1134	1259
1135	1258
1136	1257
1233	1368
1234	1367
1235	1366
1236	1365
1237	1364
1238	1363
1239	1362
1240	1361
1033	1168
1034	1167
1035	1166
1036	1165
1037	1164
1038	1163
1039	1162
1040	1161
1289	1040
1290	1039
1291	1038
1292	1037
1293	1036
1294	1035
1295	1034
1296	1033
##bravo_command	1,16	1,2	p5_inverse
##bravo_command	2,17	2,24	p5_inverse
##bravo_command	1,11	2,5	p5_inverse
##bravo_command	2,23	2,18	p5_inverse
##bravo_command	1,19	1,22	p5_inverse
##bravo_command	2,10	2,8	p5_inverse
##bravo_command	1,12	1,6	p5_inverse
##bravo_command	2,21	2,20	p5_inverse
##bravo_command	1,10	1,8	p5_inverse
##bravo_command	2,11	1,5	p5_inverse
##bravo_command	1,9	2,7	p5_inverse
##bravo_command	2,2	2,16	p5_inverse
