#p7	p5
1105	1264
1106	1263
1107	1262
1108	1261
1109	1260
1110	1259
1111	1258
1112	1257
1345	1120
1346	1119
1347	1118
1348	1117
1349	1116
1350	1115
1351	1114
1352	1113
1017	1176
1018	1175
1019	1174
1020	1173
1021	1172
1022	1171
1023	1170
1024	1169
1113	1272
1114	1271
1115	1270
1116	1269
1117	1268
1118	1267
1119	1266
1120	1265
1033	1192
1034	1191
1035	1190
1036	1189
1037	1188
1038	1187
1039	1186
1040	1185
1121	1280
1122	1279
1123	1278
1124	1277
1125	1276
1126	1275
1127	1274
1128	1273
1089	1248
1090	1247
1091	1246
1092	1245
1093	1244
1094	1243
1095	1242
1096	1241
1001	1160
1002	1159
1003	1158
1004	1157
1005	1156
1006	1155
1007	1154
1008	1153
1009	1168
1010	1167
1011	1166
1012	1165
1013	1164
1014	1163
1015	1162
1016	1161
1025	1184
1026	1183
1027	1182
1028	1181
1029	1180
1030	1179
1031	1178
1032	1177
1145	1304
1146	1303
1147	1302
1148	1301
1149	1300
1150	1299
1151	1298
1152	1297
1161	1320
1162	1319
1163	1318
1164	1317
1165	1316
1166	1315
1167	1314
1168	1313
##bravo_command	1,4	1,8	p5_inverse
##bravo_command	2,16	2,19	p5_inverse
##bravo_command	1,5	2,5	p5_inverse
##bravo_command	1,6	1,6	p5_inverse
##bravo_command	1,9	2,1	p5_inverse
##bravo_command	1,8	1,4	p5_inverse
##bravo_command	1,23	1,12	p5_inverse
##bravo_command	1,1	2,9	p5_inverse
##bravo_command	1,3	2,7	p5_inverse
##bravo_command	1,7	2,3	p5_inverse
##bravo_command	1,14	1,21	p5_inverse
##bravo_command	1,18	1,17	p5_inverse
