#p7	p5
1353	1128
1354	1127
1355	1126
1356	1125
1357	1124
1358	1123
1359	1122
1360	1121
1297	1072
1298	1071
1299	1070
1300	1069
1301	1068
1302	1067
1303	1066
1304	1065
1177	1336
1178	1335
1179	1334
1180	1333
1181	1332
1182	1331
1183	1330
1184	1329
1369	1144
1370	1143
1371	1142
1372	1141
1373	1140
1374	1139
1375	1138
1376	1137
1193	1352
1194	1351
1195	1350
1196	1349
1197	1348
1198	1347
1199	1346
1200	1345
1129	1288
1130	1287
1131	1286
1132	1285
1133	1284
1134	1283
1135	1282
1136	1281
1225	1384
1226	1383
1227	1382
1228	1381
1229	1380
1230	1379
1231	1378
1232	1377
1201	1360
1202	1359
1203	1358
1204	1357
1205	1356
1206	1355
1207	1354
1208	1353
1041	1200
1042	1199
1043	1198
1044	1197
1045	1196
1046	1195
1047	1194
1048	1193
1057	1216
1058	1215
1059	1214
1060	1213
1061	1212
1062	1211
1063	1210
1064	1209
1337	1112
1338	1111
1339	1110
1340	1109
1341	1108
1342	1107
1343	1106
1344	1105
1289	1064
1290	1063
1291	1062
1292	1061
1293	1060
1294	1059
1295	1058
1296	1057
##bravo_command	2,18	2,17	p5_inverse
##bravo_command	2,4	2,8	p5_inverse
##bravo_command	1,22	1,13	p5_inverse
##bravo_command	2,22	2,13	p5_inverse
##bravo_command	2,1	1,9	p5_inverse
##bravo_command	1,10	1,2	p5_inverse
##bravo_command	2,9	1,1	p5_inverse
##bravo_command	2,3	1,7	p5_inverse
##bravo_command	1,11	1,24	p5_inverse
##bravo_command	1,15	1,20	p5_inverse
##bravo_command	2,14	2,21	p5_inverse
##bravo_command	2,2	2,10	p5_inverse
