#p7	p5
1233	1096
1234	1095
1235	1094
1236	1093
1237	1092
1238	1091
1239	1090
1240	1089
1209	1072
1210	1071
1211	1070
1212	1069
1213	1068
1214	1067
1215	1066
1216	1065
1361	1224
1362	1223
1363	1222
1364	1221
1365	1220
1366	1219
1367	1218
1368	1217
1065	1312
1066	1311
1067	1310
1068	1309
1069	1308
1070	1307
1071	1306
1072	1305
1017	1264
1018	1263
1019	1262
1020	1261
1021	1260
1022	1259
1023	1258
1024	1257
1225	1088
1226	1087
1227	1086
1228	1085
1229	1084
1230	1083
1231	1082
1232	1081
1057	1304
1058	1303
1059	1302
1060	1301
1061	1300
1062	1299
1063	1298
1064	1297
1265	1128
1266	1127
1267	1126
1268	1125
1269	1124
1270	1123
1271	1122
1272	1121
1281	1144
1282	1143
1283	1142
1284	1141
1285	1140
1286	1139
1287	1138
1288	1137
1105	1352
1106	1351
1107	1350
1108	1349
1109	1348
1110	1347
1111	1346
1112	1345
1129	1376
1130	1375
1131	1374
1132	1373
1133	1372
1134	1371
1135	1370
1136	1369
1097	1344
1098	1343
1099	1342
1100	1341
1101	1340
1102	1339
1103	1338
1104	1337
##bravo_command	2,11	2,2	p5_inverse
##bravo_command	2,5	2,8	p5_inverse
##bravo_command	2,20	1,18	p5_inverse
##bravo_command	1,17	1,19	p5_inverse
##bravo_command	1,5	1,8	p5_inverse
##bravo_command	2,9	2,4	p5_inverse
##bravo_command	1,15	1,21	p5_inverse
##bravo_command	2,19	2,17	p5_inverse
##bravo_command	2,23	2,13	p5_inverse
##bravo_command	1,4	1,9	p5_inverse
##bravo_command	1,10	1,3	p5_inverse
##bravo_command	1,2	1,11	p5_inverse
