#p7	p5
1185	1288
1186	1287
1187	1286
1188	1285
1189	1284
1190	1283
1191	1282
1192	1281
1145	1248
1146	1247
1147	1246
1148	1245
1149	1244
1150	1243
1151	1242
1152	1241
1297	1016
1298	1015
1299	1014
1300	1013
1301	1012
1302	1011
1303	1010
1304	1009
1217	1320
1218	1319
1219	1318
1220	1317
1221	1316
1222	1315
1223	1314
1224	1313
1065	1168
1066	1167
1067	1166
1068	1165
1069	1164
1070	1163
1071	1162
1072	1161
1089	1192
1090	1191
1091	1190
1092	1189
1093	1188
1094	1187
1095	1186
1096	1185
1025	1128
1026	1127
1027	1126
1028	1125
1029	1124
1030	1123
1031	1122
1032	1121
1257	1360
1258	1359
1259	1358
1260	1357
1261	1356
1262	1355
1263	1354
1264	1353
1361	1080
1362	1079
1363	1078
1364	1077
1365	1076
1366	1075
1367	1074
1368	1073
1353	1072
1354	1071
1355	1070
1356	1069
1357	1068
1358	1067
1359	1066
1360	1065
1233	1336
1234	1335
1235	1334
1236	1333
1237	1332
1238	1331
1239	1330
1240	1329
1321	1040
1322	1039
1323	1038
1324	1037
1325	1036
1326	1035
1327	1034
1328	1033
##bravo_command	1,24	1,2	p5_inverse
##bravo_command	1,14	1,12	p5_inverse
##bravo_command	2,4	2,22	p5_inverse
##bravo_command	2,7	1,17	p5_inverse
##bravo_command	1,17	2,7	p5_inverse
##bravo_command	1,23	2,1	p5_inverse
##bravo_command	1,7	2,17	p5_inverse
##bravo_command	2,17	1,7	p5_inverse
##bravo_command	2,20	2,6	p5_inverse
##bravo_command	2,18	2,8	p5_inverse
##bravo_command	2,11	1,13	p5_inverse
##bravo_command	2,10	2,16	p5_inverse
