#p7	p5
1097	1080
1098	1079
1099	1078
1100	1077
1101	1076
1102	1075
1103	1074
1104	1073
1001	1368
1002	1367
1003	1366
1004	1365
1005	1364
1006	1363
1007	1362
1008	1361
1073	1056
1074	1055
1075	1054
1076	1053
1077	1052
1078	1051
1079	1050
1080	1049
1361	1344
1362	1343
1363	1342
1364	1341
1365	1340
1366	1339
1367	1338
1368	1337
1105	1088
1106	1087
1107	1086
1108	1085
1109	1084
1110	1083
1111	1082
1112	1081
1065	1048
1066	1047
1067	1046
1068	1045
1069	1044
1070	1043
1071	1042
1072	1041
1137	1120
1138	1119
1139	1118
1140	1117
1141	1116
1142	1115
1143	1114
1144	1113
1265	1248
1266	1247
1267	1246
1268	1245
1269	1244
1270	1243
1271	1242
1272	1241
1337	1320
1338	1319
1339	1318
1340	1317
1341	1316
1342	1315
1343	1314
1344	1313
1321	1304
1322	1303
1323	1302
1324	1301
1325	1300
1326	1299
1327	1298
1328	1297
1025	1008
1026	1007
1027	1006
1028	1005
1029	1004
1030	1003
1031	1002
1032	1001
1009	1376
1010	1375
1011	1374
1012	1373
1013	1372
1014	1371
1015	1370
1016	1369
##bravo_command	1,2	2,6	p5_inverse
##bravo_command	1,1	1,5	p5_inverse
##bravo_command	1,19	2,12	p5_inverse
##bravo_command	2,20	1,11	p5_inverse
##bravo_command	1,4	2,4	p5_inverse
##bravo_command	1,17	2,14	p5_inverse
##bravo_command	1,12	2,19	p5_inverse
##bravo_command	2,19	1,12	p5_inverse
##bravo_command	2,14	1,17	p5_inverse
##bravo_command	2,10	1,21	p5_inverse
##bravo_command	1,7	2,24	p5_inverse
##bravo_command	1,3	1,3	p5_inverse
