#p7	p5
1305	1272
1306	1271
1307	1270
1308	1269
1309	1268
1310	1267
1311	1266
1312	1265
1265	1232
1266	1231
1267	1230
1268	1229
1269	1228
1270	1227
1271	1226
1272	1225
1001	1352
1002	1351
1003	1350
1004	1349
1005	1348
1006	1347
1007	1346
1008	1345
1113	1080
1114	1079
1115	1078
1116	1077
1117	1076
1118	1075
1119	1074
1120	1073
1297	1264
1298	1263
1299	1262
1300	1261
1301	1260
1302	1259
1303	1258
1304	1257
1169	1136
1170	1135
1171	1134
1172	1133
1173	1132
1174	1131
1175	1130
1176	1129
1161	1128
1162	1127
1163	1126
1164	1125
1165	1124
1166	1123
1167	1122
1168	1121
1033	1384
1034	1383
1035	1382
1036	1381
1037	1380
1038	1379
1039	1378
1040	1377
1065	1032
1066	1031
1067	1030
1068	1029
1069	1028
1070	1027
1071	1026
1072	1025
1121	1088
1122	1087
1123	1086
1124	1085
1125	1084
1126	1083
1127	1082
1128	1081
1145	1112
1146	1111
1147	1110
1148	1109
1149	1108
1150	1107
1151	1106
1152	1105
1073	1040
1074	1039
1075	1038
1076	1037
1077	1036
1078	1035
1079	1034
1080	1033
##bravo_command	2,6	1,6	p5_inverse
##bravo_command	2,19	1,16	p5_inverse
##bravo_command	1,1	1,9	p5_inverse
##bravo_command	1,6	2,6	p5_inverse
##bravo_command	2,4	1,8	p5_inverse
##bravo_command	1,20	2,15	p5_inverse
##bravo_command	1,18	2,17	p5_inverse
##bravo_command	1,9	1,1	p5_inverse
##bravo_command	1,17	2,18	p5_inverse
##bravo_command	1,8	2,4	p5_inverse
##bravo_command	1,14	2,21	p5_inverse
##bravo_command	1,19	2,16	p5_inverse
