#p7	p5
1033	1008
1034	1007
1035	1006
1036	1005
1037	1004
1038	1003
1039	1002
1040	1001
1193	1168
1194	1167
1195	1166
1196	1165
1197	1164
1198	1163
1199	1162
1200	1161
1161	1136
1162	1135
1163	1134
1164	1133
1165	1132
1166	1131
1167	1130
1168	1129
1305	1280
1306	1279
1307	1278
1308	1277
1309	1276
1310	1275
1311	1274
1312	1273
1009	1368
1010	1367
1011	1366
1012	1365
1013	1364
1014	1363
1015	1362
1016	1361
1265	1240
1266	1239
1267	1238
1268	1237
1269	1236
1270	1235
1271	1234
1272	1233
1281	1256
1282	1255
1283	1254
1284	1253
1285	1252
1286	1251
1287	1250
1288	1249
1105	1080
1106	1079
1107	1078
1108	1077
1109	1076
1110	1075
1111	1074
1112	1073
1321	1296
1322	1295
1323	1294
1324	1293
1325	1292
1326	1291
1327	1290
1328	1289
1273	1248
1274	1247
1275	1246
1276	1245
1277	1244
1278	1243
1279	1242
1280	1241
1113	1088
1114	1087
1115	1086
1116	1085
1117	1084
1118	1083
1119	1082
1120	1081
1153	1128
1154	1127
1155	1126
1156	1125
1157	1124
1158	1123
1159	1122
1160	1121
##bravo_command	1,9	2,24	p5_inverse
##bravo_command	2,1	2,7	p5_inverse
##bravo_command	1,18	2,15	p5_inverse
##bravo_command	2,6	1,4	p5_inverse
##bravo_command	1,3	1,5	p5_inverse
##bravo_command	2,19	1,14	p5_inverse
##bravo_command	2,23	1,10	p5_inverse
##bravo_command	1,4	2,6	p5_inverse
##bravo_command	2,10	1,23	p5_inverse
##bravo_command	2,21	1,12	p5_inverse
##bravo_command	1,6	2,4	p5_inverse
##bravo_command	1,16	2,17	p5_inverse
