#p7	p5
1217	1344
1218	1343
1219	1342
1220	1341
1221	1340
1222	1339
1223	1338
1224	1337
1345	1088
1346	1087
1347	1086
1348	1085
1349	1084
1350	1083
1351	1082
1352	1081
1025	1152
1026	1151
1027	1150
1028	1149
1029	1148
1030	1147
1031	1146
1032	1145
1177	1304
1178	1303
1179	1302
1180	1301
1181	1300
1182	1299
1183	1298
1184	1297
1033	1160
1034	1159
1035	1158
1036	1157
1037	1156
1038	1155
1039	1154
1040	1153
1241	1368
1242	1367
1243	1366
1244	1365
1245	1364
1246	1363
1247	1362
1248	1361
1209	1336
1210	1335
1211	1334
1212	1333
1213	1332
1214	1331
1215	1330
1216	1329
1305	1048
1306	1047
1307	1046
1308	1045
1309	1044
1310	1043
1311	1042
1312	1041
1377	1120
1378	1119
1379	1118
1380	1117
1381	1116
1382	1115
1383	1114
1384	1113
1041	1168
1042	1167
1043	1166
1044	1165
1045	1164
1046	1163
1047	1162
1048	1161
1137	1264
1138	1263
1139	1262
1140	1261
1141	1260
1142	1259
1143	1258
1144	1257
1369	1112
1370	1111
1371	1110
1372	1109
1373	1108
1374	1107
1375	1106
1376	1105
##bravo_command	2,7	1,11	p5_inverse
##bravo_command	2,16	2,4	p5_inverse
##bravo_command	1,7	2,11	p5_inverse
##bravo_command	1,22	1,21	p5_inverse
##bravo_command	1,9	2,9	p5_inverse
##bravo_command	2,13	1,5	p5_inverse
##bravo_command	2,5	1,13	p5_inverse
##bravo_command	2,6	2,14	p5_inverse
##bravo_command	2,24	2,19	p5_inverse
##bravo_command	1,11	2,7	p5_inverse
##bravo_command	1,12	1,8	p5_inverse
##bravo_command	2,22	2,21	p5_inverse
