#p7	p5
1153	1281
1154	1282
1155	1283
1156	1284
1157	1285
1158	1286
1159	1287
1160	1288
1257	1001
1258	1002
1259	1003
1260	1004
1261	1005
1262	1006
1263	1007
1264	1008
1041	1169
1042	1170
1043	1171
1044	1172
1045	1173
1046	1174
1047	1175
1048	1176
1281	1025
1282	1026
1283	1027
1284	1028
1285	1029
1286	1030
1287	1031
1288	1032
1073	1201
1074	1202
1075	1203
1076	1204
1077	1205
1078	1206
1079	1207
1080	1208
1321	1065
1322	1066
1323	1067
1324	1068
1325	1069
1326	1070
1327	1071
1328	1072
1137	1265
1138	1266
1139	1267
1140	1268
1141	1269
1142	1270
1143	1271
1144	1272
1273	1017
1274	1018
1275	1019
1276	1020
1277	1021
1278	1022
1279	1023
1280	1024
1129	1257
1130	1258
1131	1259
1132	1260
1133	1261
1134	1262
1135	1263
1136	1264
1233	1361
1234	1362
1235	1363
1236	1364
1237	1365
1238	1366
1239	1367
1240	1368
1033	1161
1034	1162
1035	1163
1036	1164
1037	1165
1038	1166
1039	1167
1040	1168
1289	1033
1290	1034
1291	1035
1292	1036
1293	1037
1294	1038
1295	1039
1296	1040
##bravo_command	1,16	2,23	p5_straight
##bravo_command	2,17	1,1	p5_straight
##bravo_command	1,11	1,20	p5_straight
##bravo_command	2,23	1,7	p5_straight
##bravo_command	1,19	2,3	p5_straight
##bravo_command	2,10	1,17	p5_straight
##bravo_command	1,12	2,19	p5_straight
##bravo_command	2,21	1,5	p5_straight
##bravo_command	1,10	2,17	p5_straight
##bravo_command	2,11	2,20	p5_straight
##bravo_command	1,9	1,18	p5_straight
##bravo_command	2,2	1,9	p5_straight
