#p7	p5
1161	1296
1162	1295
1163	1294
1164	1293
1165	1292
1166	1291
1167	1290
1168	1289
1081	1216
1082	1215
1083	1214
1084	1213
1085	1212
1086	1211
1087	1210
1088	1209
1297	1048
1298	1047
1299	1046
1300	1045
1301	1044
1302	1043
1303	1042
1304	1041
1337	1088
1338	1087
1339	1086
1340	1085
1341	1084
1342	1083
1343	1082
1344	1081
1121	1256
1122	1255
1123	1254
1124	1253
1125	1252
1126	1251
1127	1250
1128	1249
1209	1344
1210	1343
1211	1342
1212	1341
1213	1340
1214	1339
1215	1338
1216	1337
1025	1160
1026	1159
1027	1158
1028	1157
1029	1156
1030	1155
1031	1154
1032	1153
1177	1312
1178	1311
1179	1310
1180	1309
1181	1308
1182	1307
1183	1306
1184	1305
1145	1280
1146	1279
1147	1278
1148	1277
1149	1276
1150	1275
1151	1274
1152	1273
1217	1352
1218	1351
1219	1350
1220	1349
1221	1348
1222	1347
1223	1346
1224	1345
1201	1336
1202	1335
1203	1334
1204	1333
1205	1332
1206	1331
1207	1330
1208	1329
1017	1152
1018	1151
1019	1150
1020	1149
1021	1148
1022	1147
1023	1146
1024	1145
##bravo_command	1,18	1,23	p5_inverse
##bravo_command	1,21	1,20	p5_inverse
##bravo_command	2,4	2,14	p5_inverse
##bravo_command	2,14	2,4	p5_inverse
##bravo_command	1,8	1,10	p5_inverse
##bravo_command	2,5	1,11	p5_inverse
##bravo_command	1,7	2,9	p5_inverse
##bravo_command	1,22	1,19	p5_inverse
##bravo_command	1,14	1,4	p5_inverse
##bravo_command	2,7	1,9	p5_inverse
##bravo_command	2,3	1,13	p5_inverse
##bravo_command	1,5	2,11	p5_inverse
