#p7	p5
1137	1296
1138	1295
1139	1294
1140	1293
1141	1292
1142	1291
1143	1290
1144	1289
1097	1256
1098	1255
1099	1254
1100	1253
1101	1252
1102	1251
1103	1250
1104	1249
1313	1088
1314	1087
1315	1086
1316	1085
1317	1084
1318	1083
1319	1082
1320	1081
1361	1136
1362	1135
1363	1134
1364	1133
1365	1132
1366	1131
1367	1130
1368	1129
1153	1312
1154	1311
1155	1310
1156	1309
1157	1308
1158	1307
1159	1306
1160	1305
1065	1224
1066	1223
1067	1222
1068	1221
1069	1220
1070	1219
1071	1218
1072	1217
1169	1328
1170	1327
1171	1326
1172	1325
1173	1324
1174	1323
1175	1322
1176	1321
1249	1024
1250	1023
1251	1022
1252	1021
1253	1020
1254	1019
1255	1018
1256	1017
1185	1344
1186	1343
1187	1342
1188	1341
1189	1340
1190	1339
1191	1338
1192	1337
1217	1376
1218	1375
1219	1374
1220	1373
1221	1372
1222	1371
1223	1370
1224	1369
1281	1056
1282	1055
1283	1054
1284	1053
1285	1052
1286	1051
1287	1050
1288	1049
1257	1032
1258	1031
1259	1030
1260	1029
1261	1028
1262	1027
1263	1026
1264	1025
##bravo_command	1,12	1,23	p5_inverse
##bravo_command	1,2	1,10	p5_inverse
##bravo_command	2,8	2,4	p5_inverse
##bravo_command	2,20	2,15	p5_inverse
##bravo_command	1,16	1,19	p5_inverse
##bravo_command	1,17	1,18	p5_inverse
##bravo_command	1,20	1,15	p5_inverse
##bravo_command	2,15	2,20	p5_inverse
##bravo_command	1,24	1,11	p5_inverse
##bravo_command	2,7	1,3	p5_inverse
##bravo_command	2,23	2,12	p5_inverse
##bravo_command	2,17	2,18	p5_inverse
