#p7	p5
1049	1336
1050	1335
1051	1334
1052	1333
1053	1332
1054	1331
1055	1330
1056	1329
1225	1128
1226	1127
1227	1126
1228	1125
1229	1124
1230	1123
1231	1122
1232	1121
1041	1328
1042	1327
1043	1326
1044	1325
1045	1324
1046	1323
1047	1322
1048	1321
1121	1024
1122	1023
1123	1022
1124	1021
1125	1020
1126	1019
1127	1018
1128	1017
1185	1088
1186	1087
1187	1086
1188	1085
1189	1084
1190	1083
1191	1082
1192	1081
1153	1056
1154	1055
1155	1054
1156	1053
1157	1052
1158	1051
1159	1050
1160	1049
1129	1032
1130	1031
1131	1030
1132	1029
1133	1028
1134	1027
1135	1026
1136	1025
1361	1264
1362	1263
1363	1262
1364	1261
1365	1260
1366	1259
1367	1258
1368	1257
1113	1016
1114	1015
1115	1014
1116	1013
1117	1012
1118	1011
1119	1010
1120	1009
1009	1296
1010	1295
1011	1294
1012	1293
1013	1292
1014	1291
1015	1290
1016	1289
1321	1224
1322	1223
1323	1222
1324	1221
1325	1220
1326	1219
1327	1218
1328	1217
1137	1040
1138	1039
1139	1038
1140	1037
1141	1036
1142	1035
1143	1034
1144	1033
##bravo_command	1,13	1,13	p5_inverse
##bravo_command	2,9	2,17	p5_inverse
##bravo_command	1,11	1,15	p5_inverse
##bravo_command	1,8	2,20	p5_inverse
##bravo_command	1,24	2,4	p5_inverse
##bravo_command	1,16	2,12	p5_inverse
##bravo_command	1,10	2,18	p5_inverse
##bravo_command	2,20	1,8	p5_inverse
##bravo_command	1,6	2,22	p5_inverse
##bravo_command	1,3	1,23	p5_inverse
##bravo_command	2,10	1,18	p5_inverse
##bravo_command	1,12	2,16	p5_inverse
