#p7	p5
1273	1336
1274	1335
1275	1334
1276	1333
1277	1332
1278	1331
1279	1330
1280	1329
1129	1192
1130	1191
1131	1190
1132	1189
1133	1188
1134	1187
1135	1186
1136	1185
1121	1184
1122	1183
1123	1182
1124	1181
1125	1180
1126	1179
1127	1178
1128	1177
1369	1048
1370	1047
1371	1046
1372	1045
1373	1044
1374	1043
1375	1042
1376	1041
1081	1144
1082	1143
1083	1142
1084	1141
1085	1140
1086	1139
1087	1138
1088	1137
1001	1064
1002	1063
1003	1062
1004	1061
1005	1060
1006	1059
1007	1058
1008	1057
1321	1384
1322	1383
1323	1382
1324	1381
1325	1380
1326	1379
1327	1378
1328	1377
1257	1320
1258	1319
1259	1318
1260	1317
1261	1316
1262	1315
1263	1314
1264	1313
1169	1232
1170	1231
1171	1230
1172	1229
1173	1228
1174	1227
1175	1226
1176	1225
1249	1312
1250	1311
1251	1310
1252	1309
1253	1308
1254	1307
1255	1306
1256	1305
1113	1176
1114	1175
1115	1174
1116	1173
1117	1172
1118	1171
1119	1170
1120	1169
1097	1160
1098	1159
1099	1158
1100	1157
1101	1156
1102	1155
1103	1154
1104	1153
##bravo_command	2,21	1,13	p5_inverse
##bravo_command	1,10	2,1	p5_inverse
##bravo_command	1,8	2,3	p5_inverse
##bravo_command	2,22	2,14	p5_inverse
##bravo_command	1,21	2,13	p5_inverse
##bravo_command	1,1	2,10	p5_inverse
##bravo_command	2,10	1,1	p5_inverse
##bravo_command	2,17	1,17	p5_inverse
##bravo_command	1,20	1,16	p5_inverse
##bravo_command	2,15	1,19	p5_inverse
##bravo_command	1,6	2,5	p5_inverse
##bravo_command	1,2	2,9	p5_inverse
