#p7	p5
1361	1281
1362	1282
1363	1283
1364	1284
1365	1285
1366	1286
1367	1287
1368	1288
1241	1161
1242	1162
1243	1163
1244	1164
1245	1165
1246	1166
1247	1167
1248	1168
1105	1025
1106	1026
1107	1027
1108	1028
1109	1029
1110	1030
1111	1031
1112	1032
1129	1049
1130	1050
1131	1051
1132	1052
1133	1053
1134	1054
1135	1055
1136	1056
1265	1185
1266	1186
1267	1187
1268	1188
1269	1189
1270	1190
1271	1191
1272	1192
1201	1121
1202	1122
1203	1123
1204	1124
1205	1125
1206	1126
1207	1127
1208	1128
1137	1057
1138	1058
1139	1059
1140	1060
1141	1061
1142	1062
1143	1063
1144	1064
1249	1169
1250	1170
1251	1171
1252	1172
1253	1173
1254	1174
1255	1175
1256	1176
1073	1377
1074	1378
1075	1379
1076	1380
1077	1381
1078	1382
1079	1383
1080	1384
1049	1353
1050	1354
1051	1355
1052	1356
1053	1357
1054	1358
1055	1359
1056	1360
1321	1241
1322	1242
1323	1243
1324	1244
1325	1245
1326	1246
1327	1247
1328	1248
1121	1041
1122	1042
1123	1043
1124	1044
1125	1045
1126	1046
1127	1047
1128	1048
##bravo_command	2,20	2,23	p5_straight
##bravo_command	2,13	1,18	p5_straight
##bravo_command	1,4	1,7	p5_straight
##bravo_command	1,10	1,13	p5_straight
##bravo_command	2,19	1,24	p5_straight
##bravo_command	2,3	1,8	p5_straight
##bravo_command	1,12	1,15	p5_straight
##bravo_command	2,15	1,20	p5_straight
##bravo_command	1,19	2,24	p5_straight
##bravo_command	1,13	2,18	p5_straight
##bravo_command	2,10	2,13	p5_straight
##bravo_command	1,8	1,11	p5_straight
