#p7	p5
1353	1336
1354	1335
1355	1334
1356	1333
1357	1332
1358	1331
1359	1330
1360	1329
1345	1328
1346	1327
1347	1326
1348	1325
1349	1324
1350	1323
1351	1322
1352	1321
1329	1312
1330	1311
1331	1310
1332	1309
1333	1308
1334	1307
1335	1306
1336	1305
1081	1064
1082	1063
1083	1062
1084	1061
1085	1060
1086	1059
1087	1058
1088	1057
1033	1016
1034	1015
1035	1014
1036	1013
1037	1012
1038	1011
1039	1010
1040	1009
1129	1112
1130	1111
1131	1110
1132	1109
1133	1108
1134	1107
1135	1106
1136	1105
1049	1032
1050	1031
1051	1030
1052	1029
1053	1028
1054	1027
1055	1026
1056	1025
1281	1264
1282	1263
1283	1262
1284	1261
1285	1260
1286	1259
1287	1258
1288	1257
1313	1296
1314	1295
1315	1294
1316	1293
1317	1292
1318	1291
1319	1290
1320	1289
1257	1240
1258	1239
1259	1238
1260	1237
1261	1236
1262	1235
1263	1234
1264	1233
1057	1040
1058	1039
1059	1038
1060	1037
1061	1036
1062	1035
1063	1034
1064	1033
1249	1232
1250	1231
1251	1230
1252	1229
1253	1228
1254	1227
1255	1226
1256	1225
##bravo_command	2,18	1,13	p5_inverse
##bravo_command	2,16	1,15	p5_inverse
##bravo_command	2,12	1,19	p5_inverse
##bravo_command	1,21	2,10	p5_inverse
##bravo_command	1,9	2,22	p5_inverse
##bravo_command	1,10	2,21	p5_inverse
##bravo_command	1,13	2,18	p5_inverse
##bravo_command	2,23	1,8	p5_inverse
##bravo_command	2,8	1,23	p5_inverse
##bravo_command	2,17	1,14	p5_inverse
##bravo_command	1,15	2,16	p5_inverse
##bravo_command	2,15	1,16	p5_inverse
